"","Q26","Q5Post","Q3FUS_Yes","Q3FUS_No","Q3Post","sp43fatheduc","sp44motheduc","sq39jobl","sp61pay","sq41preparealll","sp54homesup","sp47mpersonparent","sp41weak","sqr25grade","sqr29confident","sq48gradel","switcher_group","is_switcher","fath_educ","moth_educ","work","class","pay","sum_ses","low_ses","weak","end_grad","ability","sum_belief","no_belief","homesupp","parent_belief","sum_home","no_home_supp"
"391","Yes","Yes"," "," ","Yes","Graduate school","Four years of college",0,"Disagree",18,"Very strongly","3","Slightly agree",3,"Slightly agree",2,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,TRUE,TRUE,FALSE,2,TRUE,FALSE,FALSE,0,FALSE
"392","Yes","Yes"," "," ","Yes","Graduate school","Some college",0,"Disagree",18,"Very strongly","4","Disagree",3,"Agree",3,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,0,FALSE
"393","Yes","Yes"," "," ","Yes","Some college","Some college",0,"Disagree",35,"Strongly","Very much","Disagree",2,"Slightly disagree",2,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,TRUE,1,FALSE,FALSE,FALSE,0,FALSE
"394","Yes","Yes"," "," ","Yes","Graduate school","Graduate school",0,"Disagree",13,"Very strongly","2","Slightly agree",4,"Agree",4,16,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,TRUE,TRUE,FALSE,2,TRUE,FALSE,FALSE,0,FALSE
"395","Yes","Yes","Yes"," ","Yes","Four years of college","Four years of college",0,"Slightly disagree",13,"Very strongly","3","Slightly agree",4,"Agree",4,12,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,TRUE,TRUE,FALSE,2,TRUE,FALSE,FALSE,0,FALSE
"396","Dont know/ Not sure/ N/A","Dont know/ Not sure/ N/A"," ","No","No","Four years of college","Four years of college",0,"Slightly agree",8,"Very strongly","Very much","Strongly disagree",4,"Agree",4,2,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,2,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,0,FALSE
"397","Yes","Yes"," "," ","Yes","Four years of college","Four years of college",0,"Slightly disagree",35,"Very strongly","4","Disagree",4,"Agree",4,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,0,FALSE
"398","Yes",""," "," ","Yes","Graduate school","Four years of college",0,"Agree",25.5,"Very strongly","4","Slightly agree",3,"Disagree",4,16,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,TRUE,TRUE,3,TRUE,FALSE,FALSE,0,FALSE
"399","Yes","Yes","Yes"," ","Yes","Four years of college","Four years of college",0,"Slightly agree",25.5,"Very strongly","Very much","Strongly disagree",3,"Slightly agree",2,12,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,0,FALSE
"400","Yes","Yes","Yes"," ","Yes","Four years of college","Four years of college",3,"Slightly agree",3,"Somewhat","2","Disagree",3,"Agree",2,12,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,FALSE,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,1,TRUE
